start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,لا,مجتمع مضيف,,,أجار,5,5,4,1,نعم,,,,464229740,2025-04-16,,submitted_via_web,109
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,تالين,أسقبلة,اسقبلة,نعم,مجتمع مضيف,,,ملك,6,6,5,1,نعم,,,,464230775,2025-04-16,,submitted_via_web,110
2025-04-16,2025-04-16,,طرطوس,فريق جوال,القدموس,فنيتق,الفنيتق,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-03-01,,أستضافة,9,2,1,1,نعم,,,,464231046,2025-04-16,,submitted_via_web,111
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,ملك,6,6,2,4,نعم,,,,464231205,2025-04-16,,submitted_via_web,112
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أستضافة,6,2,2,0,نعم,,,,464231332,2025-04-16,,submitted_via_web,113
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,فنيتق,نعم,مجتمع مضيف,,,ملك,5,5,5,5,نعم,,,,464231346,2025-04-16,,submitted_via_web,114
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2024-12-01,,أجار,7,7,7,0,نعم,,,,464231877,2025-04-16,,submitted_via_web,115
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أخرى,5,7,6,1,لا,طرطوس,بانياس,,464231993,2025-04-16,,submitted_via_web,116
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,7,7,6,1,نعم,,,,464232214,2025-04-16,,submitted_via_web,117
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,فنيتق,نعم,مجتمع مضيف,,,ملك,3,3,3,3,نعم,,,,464233174,2025-04-16,,submitted_via_web,118
